"# SELF SERVE MANIFEST FILE NAME #","# INCLUDE SELF SERVE MANIFEST #","# MANAGED INSTALLS #","# MANAGED UNINSTALLS #","# NOTES #"
,,,,
"default",,"standard_apps_Keka",,
"default",,"standard_apps_SubEthaEdit",,
,,,,
"default.en","default","standard_en_apps_Firefox",,
,,,,
"default.int","default",,,
"default.int",,"macports_compiled_macports_2.8.1_intel",,
,,,,
"science.all","default.int",,,
"science.all",,"standard_prebuilt_pkgs_pypy3",,
"science.all",,"standard_apps_Element","standard_apps_Atom",
,,,,
"science.en","science.all",,,
"science.en","default.en",,,
